date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht,volume_30_days_moving_average,workload_hours_30_days_moving_average,aht_30_days_moving_average
2025-12-02,December,1,Tuesday,4959,569.64,469.2,3868.07,443.44,477.83
2025-12-03,December,2,Wednesday,4941,575.12,492.4,3888.57,445.85,477.97
2025-12-04,December,3,Thursday,4398,506.51,488.8,3872.7,443.41,477.95
2025-12-05,December,4,Friday,3768,438.55,474.4,3854.27,441.7,478.01
2025-12-06,December,5,Saturday,3156,361.66,476.6,3831.7,439.02,478.0
2025-12-07,December,6,Sunday,2390,276.94,470.0,3778.7,433.19,478.43
2025-12-08,December,0,Monday,5428,636.92,492.2,3866.2,443.39,478.91
2025-12-09,December,1,Tuesday,5450,624.03,486.0,3981.67,456.67,479.73
2025-12-10,December,2,Wednesday,4926,560.42,467.2,3978.43,455.48,478.9
2025-12-11,December,3,Thursday,4283,511.85,485.0,3960.33,454.2,478.76
2025-12-12,December,4,Friday,3995,460.56,482.0,3953.13,453.08,478.54
2025-12-13,December,5,Saturday,2939,347.48,468.0,3911.27,449.23,478.39
2025-12-14,December,6,Sunday,2327,270.53,499.2,3865.77,444.19,478.68
2025-12-15,December,0,Monday,5394,608.73,479.8,3952.2,453.2,478.07
2025-12-16,December,1,Tuesday,4908,564.98,482.4,4042.37,463.58,478.27
2025-12-17,December,2,Wednesday,5218,601.28,473.4,4041.6,464.3,478.39
2025-12-18,December,3,Thursday,4162,482.46,478.2,4025.67,462.54,477.99
2025-12-19,December,4,Friday,4432,492.66,454.6,4028.97,462.53,477.63
2025-12-20,December,5,Saturday,3228,383.62,494.2,4007.97,460.43,478.07
2025-12-21,December,6,Sunday,2313,281.1,501.0,3970.87,457.12,479.53
2025-12-22,December,0,Monday,5306,630.29,499.2,4049.07,466.67,480.15
2025-12-23,December,1,Tuesday,5151,591.86,476.0,4147.63,477.93,480.01
2025-12-24,December,2,Wednesday,4700,552.82,483.2,4146.6,478.31,480.07
2025-12-25,December,3,Thursday,4188,486.66,477.4,4131.73,476.88,479.89
2025-12-26,December,4,Friday,3916,468.27,494.8,4126.87,476.63,480.41
2025-12-27,December,5,Saturday,3125,367.95,488.0,4104.27,474.06,480.59
2025-12-28,December,6,Sunday,2262,246.8,456.6,4055.63,468.84,480.57
2025-12-29,December,0,Monday,5071,574.7,473.8,4128.6,477.28,480.37
2025-12-30,December,1,Tuesday,5047,572.51,479.0,4225.53,488.13,480.19
2025-12-31,December,2,Wednesday,4811,538.23,461.0,4206.4,486.17,480.12
